,tconst,titleType,primaryTitle,isAdult,startYear
0,tt0000001,short,Carmencita,0,1894
1,tt0000002,short,Le clown et ses chiens,0,1892
2,tt0000003,short,Poor Pierrot,0,1892
3,tt0000004,short,Un bon bock,0,1892
4,tt0000005,short,Blacksmith Scene,0,1893
5,tt0000006,short,Chinese Opium Den,0,1894
6,tt0000007,short,Corbett and Courtney Before the Kinetograph,0,1894
7,tt0000008,short,Edison Kinetoscopic Record of a Sneeze,0,1894
8,tt0000009,movie,Miss Jerry,0,1894
9,tt0000010,short,Leaving the Factory,0,1895
